pmid,year,journal,title,n_runs,runs
39354321,2025,Methods Mol Biol,"Quantitative Blood Serum IVDr NMR Spectroscopy in Clinical Metabolomics of Cancer, Neurodegeneration, and Internal Medicine.",2,104|5
39420319,2024,J Transl Med,Multi-omics insights into the microbiota-gut-brain axis and cognitive improvement post-bariatric surgery.,1,102
39426973,,,,3,1|102|104
39472117,2024,Zhonghua Er Bi Yan Hou Tou Jing Wai Ke Za Zhi,[Systematic evaluation of the correlation between serum metabolites and tinnitus].,1,0
39485556,2024,Clin Rheumatol,Altered serum metabolome is associated with disease activity and immune responses in rheumatoid arthritis.,1,102
39560478,2024,Radiology,Plasma Glial Fibrillary Acid Protein and Phosphorated Tau 181 Association with Presynaptic Density-Dependent Tau Pathology at (18)F-SynVesT-1 Brain PET Imaging.,1,0
39632843,2024,NPJ Biofilms Microbiomes,Bifidobacterium animalis Probio-M8 improves sarcopenia physical performance by mitigating creatine restrictions imposed by microbial metabolites.,1,101
39837327,2025,Cell Genom,Genetic mapping of serum metabolome to chronic diseases among Han Chinese.,1,102
39989429,2025,Alzheimers Dement,Novel plasma biomarkers of amyloid plaque pathology and cortical thickness: Evaluation of the NULISA targeted proteomic platform in an ethnically diverse cohort.,1,0
40015656,2025,J Nutr Biochem,Alpha-aminobutyric acid ameliorates diet-induced metabolic dysfunction-associated steatotic liver disease (MASLD) progression in mice via enhancing AMPK/SIRT1 pathway and modulating the gut-liver axis.,1,101
40027098,2025,Front Cell Dev Biol,Specific gut microbiota and serum metabolite changes in patients with osteoarthritis.,1,102
40133061,,,,1,2
40146404,2025,Metabolomics,Exploring the relationship between serum 25-hydroxyvitamin D levels and intestinal fungal communities and their metabolites in postmenopausal Chinese women.,1,0
40185103,2025,Cell Rep Med,Gut microbiota and metabolites are linked to disease progression in multiple sclerosis.,1,5
40273469,2025,EBioMedicine,Serum metabolic fingerprints encode functional biomarkers for ovarian cancer diagnosis: a large-scale cohort study.,1,101
40278006,2025,Ginekol Pol,NMR-based serum metabolomics in patients with low-differentiated serous ovarian cancer.,1,104
40280554,2025,Anal Chem,Fast NMR-Based Assessment of Cancer-Associated Protein Glycosylations from Serum Samples.,1,5
40334838,2025,J Sport Health Sci,The exercise-conditioned human serum and skeletal muscle cells secretome induce apoptosis in breast cancer cells.,1,4
40345188,2025,Cancer Cell,Immunosequencing identifies signatures of T cell responses for early detection of nasopharyngeal carcinoma.,1,0
40392756,2025,PLoS Med,Identification and validation of poly-metabolite scores for diets high in ultra-processed food: An observational study and post-hoc randomized controlled crossover-feeding trial.,2,0|102
40428054,2025,Bioengineering (Basel),Causal Relationship Between Blood Metabolites and Osteoporosis: A Two-Sample Mendelian Randomization and Genetic Correlation Analysis.,1,0
40504754,2025,Am J Respir Crit Care Med,Metabolomic Evidence of Biological Overlap with Heart Failure with Preserved Ejection Fraction in a Subset of Pulmonary Arterial Hypertension.,1,101
40552757,2025,Adv Sci (Weinh),The LDH-H3K18La-Nur77 Axis Potentiates Immune Escape in Small Cell Lung Cancer.,1,4
40640940,2025,J Neuroinflammation,Gut microbiota-derived indoleacetic acid attenuates neuroinflammation and neurodegeneration in glaucoma through ahr/rage pathway.,1,100
40680600,,,,1,1
40725145,2025,Int J Mol Sci,Combining CSF and Serum Biomarkers to Differentiate Mechanisms of Disability Worsening in Multiple Sclerosis.,1,0
40826357,2025,Cardiovasc Diabetol,Unveiling biomarkers via plasma metabolome profiling for diabetic macrovascular and microvascular complications.,2,101|102
41788252,2025,Biophys Rev,"Predicting and monitoring treatment response via 1-H NMR metabolomics of plasma, serum, and urine.",1,5
41916254,,,,2,1|5
4906004,1970,Science,Glycine inhibition of asparaginase.,1,101
6441833,1984,J Gen Microbiol,Fractionation of guinea pig serum for an inducer of gonococcal resistance to killing by human serum: active fractions containing glucopeptides similar to those from human red blood cells.,1,101
9570492,1998,Acta Psychiatr Scand,"Serum levels of excitatory amino acids, serine, glycine, histidine, threonine, taurine, alanine and arginine in treatment-resistant depression: modulation by treatment with antidepressants and prediction of clinical responsivity.",1,101
